uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
colt:tektoniektype,skos:Collection,tektoniektype,,,Collectie van tektoniektype.,,,,,,,,,,,,,cs,tektoniektype,,,,,,
ct:3,skos:Concept,3,colt:tektoniektype,,breukvlak,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:8,skos:Concept,8,colt:tektoniektype,,calcietgevulde spleten,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:2,skos:Concept,2,colt:tektoniektype,,diaklaas,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:4,skos:Concept,4,colt:tektoniektype,,diaklaasafstand,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:7,skos:Concept,7,colt:tektoniektype,,fijne zwarte voegen,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:1,skos:Concept,1,colt:tektoniektype,,glijvlak / verschuivingsvlak,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:0,skos:Concept,0,colt:tektoniektype,,onbepaald,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:5,skos:Concept,5,colt:tektoniektype,,plooiing (crochon),,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:6,skos:Concept,6,colt:tektoniektype,,splijtingsvlak,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
ct:9,skos:Concept,9,colt:tektoniektype,,stylolieten,,,,,,,,,,,,,cs:tektoniektype,,,,,,,cs:tektoniektype
